CHROM	GeneStart	GeneEnd	TargetID	GeneName	R2	BETA	BETA_SE	T_STAT	PVALUE	N
1	196621008	196716634	ENSG00000000971.11	CFH	0.04136543531149217	3.2860723716692912	8.30024071360755	0.3959008521622813	0.6921781723849434	128
1	24683489	24743424	ENSG00000001460.13	STPG1	0.04380067864236503	-9.561481019778986	12.509251595948506	-0.7643527629483251	0.44465705043656867	128
1	24745781	24799466	ENSG00000001461.12	NIPAL3	0.05144955250436323	25.94070988869663	18.838933369990038	1.376973386933867	0.16852047601921627	128
1	23345941	23410182	ENSG00000004487.11	KDM1A	0.05797037694078977	-6.677080656810413	3.8634230347892053	-1.728281007977871	0.0839378563343128	128
1	24104895	24114722	ENSG00000057757.5	PITHD1	0.04870366579016272	-1.0701829442887756	0.893767140366303	-1.1973845266342753	0.2311567119036424	128
1	111743393	111786062	ENSG00000064886.9	CHI3L2	0.049664448686101315	-67.919536734109	54.09611583255814	-1.255534444364509	0.20928481229381746	128
1	22379120	22419437	ENSG00000070831.11	CDC42	0.05652742930653798	-4.349034049960772	2.614297701138379	-1.6635573095087883	0.09620092914974998	128
1	24018269	24022915	ENSG00000142676.8	RPL11	0.055955660993569745	0.8282290730018688	0.5166960555342441	1.6029328347504246	0.10894948352698108	128
1	169074935	169101768	ENSG00000143153.8	ATP1B1	0.047683265785332996	-0.4847513782413472	0.43168670854859875	-1.1229240294915739	0.26146976103123265	128
1	198126093	198291550	ENSG00000151414.10	NEK7	0.04096248979590311	-4.71827837855258	16.14339254879089	-0.29227303767112883	0.7700778720533339	128
1	113243728	113250056	ENSG00000155366.12	RHOC	0.0643929446536663	161.70568536486917	80.71416815566008	2.0034361879690583	0.04513049047248505	128
